Id,ISBN,Authors,Publication Year,Title,Language
2767052,439023483,Suzanne Collins,2008,The Hunger Games,eng
3,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,eng
41865,316015849,Stephenie Meyer,2005,Twilight,en-US
2657,61120081,Harper Lee,1960,To Kill a Mockingbird,eng
4671,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,eng
11870085,525478817,John Green,2012,The Fault in Our Stars,eng
5907,618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,en-US
5107,316769177,J.D. Salinger,1951,The Catcher in the Rye,eng
960,1416524797,Dan Brown,2000,Angels & Demons ,en-CA
1885,679783261,Jane Austen,1813,Pride and Prejudice,eng
77203,1594480001,Khaled Hosseini,2003,The Kite Runner ,eng
13335037,62024035,Veronica Roth,2011,Divergent,eng
5470,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,eng
7613,452284244,George Orwell,1945,Animal Farm: A Fairy Story,eng
48855,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng
2429135,307269752,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,eng
6148028,439023491,Suzanne Collins,2009,Catching Fire,eng
5,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,eng
34,618346252,J.R.R. Tolkien,1954, The Fellowship of the Ring,eng
7260188,439023513,Suzanne Collins,2010,Mockingjay,eng
2,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,eng
12232938,316166685,Alice Sebold,2002,The Lovely Bones,eng
15881,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,eng
6,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,eng
136251,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,eng
968,307277674,Dan Brown,2003,The Da Vinci Code,eng
1,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,eng
7624,140283331,William Golding,1954,Lord of the Flies ,eng
18135,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,eng
19288043,297859382,Gillian Flynn,2012,Gone Girl,eng
4667024,399155341,Kathryn Stockett,2009,The Help,eng
890,142000671,John Steinbeck,1937,Of Mice and Men ,eng
929,739326228,Arthur Golden,1997,Memoirs of a Geisha,eng
10818853,1612130291,E.L. James,2011,Fifty Shades of Grey,eng
865,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,eng
3636,385732554,Lois Lowry,1993,The Giver,eng
100915,60764899,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",eng
18619684,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,eng
13496,553588486,George R.R. Martin,1996,A Game of Thrones,eng
19501,143038419,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng
28187,786838655,Rick Riordan,2005,The Lightning Thief,eng
1934,451529308,Louisa May Alcott,1868,Little Women,en-US
10210,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng
15931,553816713,Nicholas Sparks,1996,The Notebook,eng
4214,770430074,Yann Martel,2001,Life of Pi,
43641,1565125606,Sara Gruen,2006,Water for Elephants,eng
19063,375831002,Markus Zusak,2005,The Book Thief,eng
4381,307347974,Ray Bradbury,1953,Fahrenheit 451,spa
49041,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng
30119,60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng
256683,1416914285,Cassandra Clare,2007,City of Bones,eng
428263,316160202,Stephenie Meyer,2007,Eclipse,en-US
113436,375826696,Christopher Paolini,2002,Eragon,en-US
386162,345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,en-US
5129,60929871,Aldous Huxley,1932,Brave New World,eng
1162543,031606792X,Stephenie Meyer,2008,Breaking Dawn,en-US
37435,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,en-US
2956,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng
24178,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng
1618,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng
22557272,1594633665,Paula Hawkins,2015,The Girl on the Train,eng
119322,679879242,Philip Pullman,1995,Northern Lights,eng
6185,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng
10917,743454537,Jodi Picoult,2004,My Sister's Keeper,eng
4981,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng
18405,446675539,Margaret Mitchell,1936,Gone with the Wind,eng
128029,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,eng
22628,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng
11735983,7442912,Veronica Roth,2012,Insurgent,eng
375802,812550706,Orson Scott Card,1985,Ender's Game,eng
18490,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",eng
11588,450040186,Stephen King,1977,The Shining,eng
1656001,316068047,Stephenie Meyer,2008,The Host,en-US
99561,142402516,John Green,2005,Looking for Alaska,eng
227443,014028009X,Helen Fielding,1996,,eng
14935,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng
38709,439244196,"Louis Sachar, Louis Sachar",1998,Holes,eng
5139,307275558,Lauren Weisberger,2003,The Devil Wears Prada,eng
1381,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,eng
157993,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,eng
7445,074324754X,Jeannette Walls,2005,The Glass Castle,eng
1845,385486804,Jon Krakauer,1996,Into the Wild,eng
1953,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng
6424171,030734813X,Michael Crichton,1990,Jurassic Park,spa
370493,60256656,Shel Silverstein,1964,The Giving Tree,eng
32542,385338600,John Grisham,1989,A Time to Kill,eng
1617,374500010,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,eng
6442769,014241493X,John Green,2008,Paper Towns,en-US
21787,345418263,William Goldman,1973,The Princess Bride,en-US
231804,014038572X,S.E. Hinton,1967,The Outsiders,en-US
6186357,385737947,James Dashner,2009,The Maze Runner,eng
1202,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US
2998,517189607,Frances Hodgson Burnett,1911,The Secret Garden,eng
320,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,eng
5297,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng
13536860,345803507,E.L. James,2012,Fifty Shades Freed,eng
17245,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng
5060378,307269981,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,eng
11857408,1612130585,E.L. James,2011,Fifty Shades Darker,eng
